"age","gender","educ","income","religion","state","partyid","slavery","try","favors","deserve","ideo","date","marry","vote","trumpft","clintonft","color2","abtrace","checkemo","treat","treat2","raceresent","oldfash","trumpvote","trumpvclinft"
55,2,3,21,1,11,5,4,2,2,5,4,2,4,2,86,5,"3,5",2,"20",3,1,1.36606851002617,-0.137466869272721,1,81
40,2,5,19,1,50,4,3,4,3,4,7,1,1,3,1,5,"3,5",1,"14",3,1,-0.587841641780507,0.682124536203561,0,-4
58,2,5,18,2,45,4,4,3,2,3,4,1,3,3,10,9,"",1,"20",2,1,0.223651380427251,-0.335366629801002,0,1
51,2,5,24,2,21,6,4,2,2,4,6,1,4,2,84,9,"3,5",2,"20",3,1,0.990046411653211,-0.844112212803283,1,75
61,2,5,10,1,36,6,5,1,1,4,5,4,2,2,82,1,"6",2,"12,4,10",4,1,2.17756153223393,2.29331498379297,1,81
43,1,4,23,5,5,1,2,4,4,2,1,1,5,1,0,60,"3,5",1,"20",4,1,-2.13702802625416,-1.35285779580556,0,-60
65,2,5,6,1,23,1,3,3,3,4,2,1,3,1,0,90,"6",2,"20",2,1,-0.197468708927511,-0.335366629801002,0,-90
62,2,4,6,1,3,4,4,1,1,3,4,2,3,4,11,24,"5",2,"20",2,1,1.45313769959981,0.37127871372956,0,-13
58,2,4,17,3,10,2,4,3,3,2,2,1,5,NA,NA,NA,"",NA,"",NA,NA,-0.601111171412279,-1.35285779580556,NA,NA
65,1,4,21,2,38,6,5,1,1,5,6,1,5,2,85,5,"6",2,"20",3,1,2.5535836306069,-1.35285779580556,1,80
52,2,3,15,1,43,4,5,1,1,5,4,5,1,2,50,1,"3,5",2,"20",5,1,2.5535836306069,3.50870591032581,1,49
65,2,5,13,2,50,5,5,1,1,5,6,1,4,2,80,1,"3,5",2,"20",3,1,2.5535836306069,-0.844112212803283,1,79
55,1,5,17,6,14,1,1,5,5,1,1,1,5,1,5,100,"3,5",1,"20",2,1,-3.70056524520785,-1.35285779580556,0,-95
51,2,4,22,2,5,3,4,2,1,5,4,1,4,1,0,72,"3,5",1,"20",1,0,1.81480896349274,-0.844112212803283,0,-72
43,2,6,21,2,17,2,5,1,1,5,2,3,1,1,0,91,"3,5",1,"20",2,1,2.5535836306069,2.09541522326469,0,-91
44,1,5,25,5,5,4,4,2,2,5,4,1,3,3,40,8,"3,5",2,"20",3,1,1.36606851002617,-0.335366629801002,0,32
51,2,5,18,6,31,4,3,3,3,3,4,3,3,3,52,10,"3,5",NA,"20",3,1,-0.573490807300476,1.07792405726012,0,42
37,2,5,22,2,22,5,4,2,2,4,5,1,5,2,80,31,"3,5",2,"20",5,1,0.990046411653211,-1.35285779580556,1,49
61,2,4,7,1,50,3,3,3,2,4,7,1,2,2,80,6,"3,5",1,"20",5,1,0.251271744539054,0.17337895320128,1,74
55,1,4,18,1,22,1,5,1,1,5,1,1,3,1,0,80,"3,5",2,"20",4,1,2.5535836306069,-0.335366629801002,0,-80
55,2,5,17,1,44,6,4,3,2,4,6,3,2,2,55,32,"3,5",2,"20",5,1,0.599673478800215,1.5866696402624,1,23
56,2,6,19,3,5,7,4,1,1,5,7,3,1,2,70,40,"3,5",1,"20",5,1,2.20518189634574,2.09541522326469,1,30
60,2,5,14,6,39,4,3,3,2,3,4,3,3,3,1,2,"3,5",1,"20",1,0,-0.12475035383391,1.07792405726012,0,-1
56,2,5,18,2,44,4,4,2,2,4,4,4,2,2,84,1,"3,5",2,"20",3,1,0.990046411653211,2.29331498379297,1,83
64,2,4,11,5,28,4,5,2,1,5,7,3,2,2,81,1,"3",2,"20",4,1,2.1632106977539,1.5866696402624,1,80
64,2,5,15,2,26,7,5,1,1,5,7,5,1,2,90,10,"3,5",2,"20",3,1,2.5535836306069,3.50870591032581,1,80
64,1,3,17,5,30,4,5,1,1,4,3,1,3,1,8,91,"3,5",1,"20",5,1,2.17756153223393,-0.335366629801002,0,-83
50,2,4,21,5,33,1,1,5,5,1,1,1,5,1,1,86,"3,5",1,"20",4,1,-3.70056524520785,-1.35285779580556,0,-85
58,1,5,15,2,50,6,4,3,2,2,6,1,3,1,61,79,"5",2,"11,1,3,15,16,18,8,9",1,0,-0.152370717945713,-0.335366629801002,0,-18
48,1,4,23,1,47,4,5,2,1,5,4,2,3,2,77,44,"3,5",2,"20",4,1,2.1632106977539,0.37127871372956,1,33
58,2,5,12,2,10,4,4,4,2,4,4,2,2,3,51,51,"3,6",2,"20",4,1,0.20930054594722,0.880024296731842,0,0
50,2,5,19,2,10,2,2,4,3,3,2,1,5,1,2,87,"3,5",1,"20",4,1,-1.31226547441463,-1.35285779580556,0,-85
61,2,3,24,2,24,5,5,1,1,5,4,1,3,2,100,1,"3,5",2,"20",1,0,2.5535836306069,-0.335366629801002,1,99
60,2,3,16,2,50,2,4,4,2,3,3,2,3,1,37,46,"3,5",1,"20",1,0,-0.166721552425744,0.37127871372956,0,-9
65,2,3,18,1,23,4,4,3,2,4,6,2,4,2,73,1,"3,5",2,"20",2,1,0.599673478800215,-0.137466869272721,1,72
63,2,5,11,2,10,3,4,3,2,4,4,2,3,4,51,51,"3,5",2,"20",3,1,0.599673478800215,0.37127871372956,0,0
51,2,5,18,1,6,6,3,3,2,4,7,1,3,2,54,16,"3,5",2,"20",3,1,0.251271744539054,-0.335366629801002,1,38
55,2,5,20,2,5,1,1,5,4,1,2,1,5,1,0,72,"3,5",1,"20",4,1,-3.25182479174128,-1.35285779580556,0,-72
