"partyid","ideo","age","gender","educ","income","religion","state","jobapprv","crmapprv","abtrace","treat","raceresent","oldfash"
1,1,23,1,5,18,5,47,0,0,1,1,-2.49560415976798,-1.03862717038431
1,2,24,2,5,14,5,14,0,0,1,1,-1.76672478981631,-1.03862717038431
2,7,58,1,3,13,1,4,1,1,NA,0,2.59221861718292,4.68799591178462
1,1,25,2,5,19,5,23,0,0,1,1,-0.674174905967969,0.10793895862729
1,2,35,2,6,25,1,47,0,0,NA,0,-0.680241653170723,0.10793895862729
2,5,31,1,5,16,1,15,1,1,0,1,2.22421114981395,0.681222023133087
2,6,58,2,3,8,1,10,1,1,0,1,1.86193994157426,-1.03862717038431
2,5,25,1,4,6,5,10,0,0,NA,0,0.778585904316125,2.11287779367532
1,2,26,1,6,20,5,47,0,0,1,1,-2.49560415976798,-1.03862717038431
3,3,29,2,4,12,5,20,0,0,NA,0,1.13912731882535,-1.03862717038431
1,3,27,1,5,16,3,5,0,0,1,1,0.424441725083129,-1.03862717038431
3,3,38,2,5,21,5,11,0,0,NA,0,0.0500370224379325,0.10793895862729
3,2,31,2,4,9,2,5,0,0,0,1,1.13945780689882,-0.465344105878508
3,2,23,1,3,14,5,41,0,0,1,1,-1.04251286141041,-1.03862717038431
3,4,38,1,5,17,5,33,0,0,0,1,0.0500370224379325,-1.03862717038431
1,1,32,2,5,9,5,22,0,0,1,1,-1.39665704064341,0.10793895862729
3,4,44,1,3,8,5,50,1,1,NA,0,1.86366973530473,3.25634014124239
1,3,40,1,4,13,2,5,0,1,0,1,-0.680241653170723,-1.03862717038431
1,1,35,1,5,13,5,36,0,0,NA,0,0.410578436947158,0.10793895862729
2,6,23,1,5,16,5,10,1,1,NA,0,3.3167610336623,0.10793895862729
3,2,34,1,4,14,5,15,0,0,1,1,-0.680572141244198,-1.03862717038431
3,3,29,2,5,17,1,10,0,0,1,1,-0.674174905967969,-1.03862717038431
2,6,34,2,5,20,1,44,1,1,NA,0,2.58788166371063,2.39796743520596
3,4,37,1,6,23,6,36,0,0,NA,0,0.048637716780944,1.82468437070016
3,3,40,1,5,15,2,3,0,0,1,1,-0.680241653170723,-0.465344105878508
1,1,29,2,5,16,5,23,0,0,NA,0,-0.681971446901187,-1.03862717038431
3,5,28,1,5,18,1,31,0,1,0,1,1.86366973530473,0.966311664663725
3,1,37,2,5,13,6,15,0,0,NA,0,0.774248950843834,-1.03862717038431
1,2,26,2,5,15,5,5,0,0,NA,0,-2.49560415976798,-1.03862717038431
1,6,47,2,3,19,2,10,0,0,1,1,0.410578436947158,-1.03862717038431
2,6,40,2,5,19,1,1,1,1,0,1,3.3167610336623,-1.03862717038431
3,4,36,2,4,16,5,6,0,0,1,1,2.22421114981395,1.53959472916952
3,3,52,2,5,5,1,7,0,0,1,1,-1.04251286141041,-1.03862717038431
1,1,32,1,5,19,2,40,0,0,1,1,-1.76532548415933,-0.465344105878508
2,6,34,2,5,25,1,41,1,1,NA,0,1.49533177986228,2.97125049971175
1,2,34,2,6,20,2,14,0,0,NA,0,-2.49560415976798,-1.03862717038431
2,5,41,2,4,12,5,38,1,1,0,1,0.410908925020632,2.11287779367532
1,3,23,1,5,10,5,48,0,0,1,1,-0.312234185801756,-0.465344105878508
1,1,23,2,4,11,5,5,0,0,1,1,-1.04251286141041,0.10793895862729
1,3,55,1,4,12,5,36,0,0,1,1,1.86366973530473,0.10793895862729
1,2,29,1,5,16,3,33,0,0,NA,0,-1.40445358157663,0.10793895862729
1,3,39,1,3,12,2,39,0,1,NA,0,-0.316571139274046,0.10793895862729
2,5,33,2,5,12,5,14,1,1,0,1,-0.305836950525527,-1.03862717038431
3,5,53,2,3,11,5,5,1,1,NA,0,1.86366973530473,0.10793895862729
4,3,24,2,3,15,6,23,0,0,1,1,-0.667777670691741,-1.03862717038431
1,3,22,1,4,19,5,48,1,1,0,1,0.412308230677621,0.10793895862729
3,4,32,1,4,19,5,36,1,1,0,1,0.780646186120063,0.10793895862729
3,2,38,2,5,11,5,10,0,0,NA,0,0.410578436947158,-1.03862717038431
